X,Результаты модуля (X)
0.1000,-2.3026
0.2000,-1.6094
0.3000,-1.2040
0.4000,-0.9163
0.5000,-0.6931
0.6000,-0.5108
0.7000,-0.3567
0.8000,-0.2231
0.9000,-0.1054
1.0000,0.0000
1.1000,0.0953
1.2000,0.1823
1.3000,0.2624
1.4000,0.3365
1.5000,0.4055
1.6000,0.4700
1.7000,0.5306
1.8000,0.5878
1.9000,0.6419
2.0000,0.6931
2.1000,0.7419
2.2000,0.7885
2.3000,0.8329
2.4000,0.8755
2.5000,0.9163
2.6000,0.9555
2.7000,0.9933
2.8000,1.0296
2.9000,1.0647
3.0000,1.0986
3.1000,1.1314
3.2000,1.1632
3.3000,1.1939
3.4000,1.2238
3.5000,1.2528
3.6000,1.2809
3.7000,1.3083
3.8000,1.3350
3.9000,1.3610
4.0000,1.3863
4.1000,1.4110
4.2000,1.4351
4.3000,1.4586
4.4000,1.4816
4.5000,1.5041
4.6000,1.5261
4.7000,1.5476
4.8000,1.5686
4.9000,1.5892
5.0000,1.6094
5.1000,1.6292
5.2000,1.6487
5.3000,1.6677
5.4000,1.6864
5.5000,1.7047
5.6000,1.7228
5.7000,1.7405
5.8000,1.7579
5.9000,1.7750
6.0000,1.7918
6.1000,1.8083
6.2000,1.8245
6.3000,1.8405
6.4000,1.8563
6.5000,1.8718
6.6000,1.8871
6.7000,1.9021
6.8000,1.9169
6.9000,1.9315
7.0000,1.9459
7.1000,1.9601
7.2000,1.9741
7.3000,1.9879
7.4000,2.0015
7.5000,2.0149
7.6000,2.0281
7.7000,2.0412
7.8000,2.0541
7.9000,2.0669
8.0000,2.0794
8.1000,2.0919
8.2000,2.1041
8.3000,2.1163
8.4000,2.1282
8.5000,2.1401
8.6000,2.1518
8.7000,2.1633
8.8000,2.1748
8.9000,2.1861
9.0000,2.1972
9.1000,2.2083
9.2000,2.2192
9.3000,2.2300
9.4000,2.2407
9.5000,2.2513
9.6000,2.2618
9.7000,2.2721
9.8000,2.2824
9.9000,2.2925
10.0000,2.3026
