X||||||Результаты модуля (X)
0.0000||||||1.0000
0.1000||||||1.0050
0.2000||||||1.0203
0.3000||||||1.0468
0.4000||||||1.0857
0.5000||||||1.1395
0.6000||||||1.2116
0.7000||||||1.3075
0.8000||||||1.4353
0.9000||||||1.6087
1.0000||||||1.8508
1.1000||||||2.2046
1.2000||||||2.7597
1.3000||||||3.7383
1.4000||||||5.8835
1.5000||||||14.1368
1.6000||||||-34.2471
1.7000||||||-7.7613
1.8000||||||-4.4014
1.9000||||||-3.0932
2.0000||||||-2.4030
2.1000||||||-1.9808
2.2000||||||-1.6992
2.3000||||||-1.5009
2.4000||||||-1.3561
2.5000||||||-1.2482
2.6000||||||-1.1670
2.7000||||||-1.1061
2.8000||||||-1.0613
2.9000||||||-1.0299
3.0000||||||-1.0101
3.1000||||||-1.0009
3.2000||||||-1.0017
3.3000||||||-1.0127
3.4000||||||-1.0343
3.5000||||||-1.0679
3.6000||||||-1.1151
3.7000||||||-1.1791
3.8000||||||-1.2643
3.9000||||||-1.3775
4.0000||||||-1.5299
4.1000||||||-1.7397
4.2000||||||-2.0397
4.3000||||||-2.4950
4.4000||||||-3.2538
4.5000||||||-4.7439
4.6000||||||-8.9164
4.7000||||||-80.7190
4.8000||||||11.4287
4.9000||||||5.3616
5.0000||||||3.5253
5.1000||||||2.6457
5.2000||||||2.1344
5.3000||||||1.8038
5.4000||||||1.5756
5.5000||||||1.4111
5.6000||||||1.2894
5.7000||||||1.1980
5.8000||||||1.1293
5.9000||||||1.0782
6.0000||||||1.0415
6.1000||||||1.0170
6.2000||||||1.0035
